StreetCode1,StreetCode2,StreetCode3,Violation County,NViolations
15480,42730,13430,K,1
15520,12550,61220,BX,2
15520,52220,12550,BX,2
15680,88830,77030,K,2
15720,12550,26670,BX,2
15720,12820,26340,BX,1
15720,25830,25860,BX,2
15720,25920,25950,BX,1
15820,25770,25800,BX,1
15920,0,0,K,1
16020,28620,30020,BX,2
16020,30020,17120,BX,1
16030,10880,19030,K,1
16120,8020,26610,BX,1
16120,26670,76450,BX,2
16120,27060,27090,BX,1
16220,36320,9020,BX,1
16530,10880,19030,K,1
16620,10420,55520,BX,1
16620,40320,72620,BX,1
16620,67840,57520,BX,1
16620,78850,39420,BX,1
16720,34820,11020,BX,1
17120,16020,31220,BX,1
17280,91230,72350,K,1
17330,10480,10530,K,1
17330,15780,30630,K,3
17380,5880,5980,K,1
17380,6080,6180,K,1
17610,40404,40404,K,1
17890,10110,10010,K,1
17920,12550,75120,BX,2
18630,0,0,K,5
18630,26430,13880,K,2
18630,29630,26430,K,2
18630,39430,81530,K,2
18630,59030,26230,K,2
18630,66430,66330,K,2
18630,81430,80330,K,1
18730,32600,40930,K,2
18830,41830,31030,K,1
18830,60930,56930,K,1
18870,24890,10210,K,1
19230,5280,5430,K,1
19230,5580,18950,K,1
19230,41930,18630,K,1
19230,50830,73470,K,1
19530,0,0,K,2
19530,60530,65830,K,1
19530,66230,66130,K,2
19530,66430,66330,K,1
19530,66630,66530,K,1
19620,74840,74870,BX,1
19630,18630,57260,K,1
19630,35030,67730,K,1
19630,36080,36130,K,3
19630,36130,67030,K,3
19820,60520,58220,BX,1
19830,12030,43730,K,1
19830,61030,87130,K,3
19830,82230,72030,K,1
20020,26730,26760,BX,2
20020,59525,26910,BX,1
20720,26670,26700,BX,1
20720,26730,26760,BX,2
21020,26190,26220,BX,1
21130,53500,71330,K,1
21230,14680,14730,K,1
21230,40404,40404,BX,1
21820,27090,27120,BX,1
21820,27180,27300,BX,2
21820,27390,27420,BX,1
21820,27600,51120,BX,1
21820,29120,27060,BX,2
22320,26910,70635,BX,1
22425,22320,0,BX,1
22680,21530,21480,K,1
22680,21980,22030,K,1
22680,75910,22580,K,2
22690,76950,76950,K,1
22720,27030,27060,BX,1
22840,20440,53890,BX,1
22920,7720,16620,BX,1
23130,19830,34330,K,2
23130,34330,56630,K,1
23130,56630,73380,K,1
23220,27060,27090,BX,1
23230,18930,12730,K,1
23230,33430,31530,K,1
23230,49430,64630,K,1
23230,50830,38630,K,1
23230,83330,40330,K,1
23230,92630,31950,K,2
23330,41730,40230,K,1
23330,86530,72230,K,1
23520,20130,74480,BX,1
23520,74480,74510,BX,1
23520,74610,74630,BX,1
23620,62120,42020,BX,1
23920,29320,27960,BX,2
24230,5280,5430,K,4
24245,71330,89930,K,2
24245,89930,42330,K,1
24465,0,0,K,1
24570,46520,40420,BX,1
24830,5430,5580,K,1
24830,5880,72630,K,2
24830,12130,86030,K,1
24830,18630,73690,K,1
24830,23330,54070,K,1
24830,40404,40404,K,1
24830,41530,73430,K,1
24830,67030,64830,K,2
24830,75430,86630,K,1
24830,77730,51030,K,1
24965,65520,30060,BX,1
25520,26340,26400,BX,3
25740,78150,15820,BX,1
25770,78150,15820,BX,2
25800,8120,78150,BX,3
25800,15720,65620,BX,1
25890,8120,78150,BX,2
25890,78150,15720,BX,1
25930,56630,73380,K,3
25980,15720,65620,BX,1
25980,68020,78150,BX,2
26010,78150,15720,BX,1
26130,18620,69720,BX,1
26130,44330,70930,K,1
26230,0,0,K,2
26230,18630,94510,K,1
26230,19630,34880,K,1
26230,34880,34930,K,1
26230,35680,67530,K,3
26230,36330,36380,K,1
26230,37030,37080,K,1
26230,40930,18630,K,11
26230,67047,35630,K,1
26230,67530,35730,K,5
26230,67730,35080,K,1
26250,68020,12820,BX,1
26530,0,0,K,1
26530,28330,93430,K,3
26550,31120,68020,BX,3
26550,42020,43520,BX,1
26550,62120,42020,BX,1
26550,73120,31120,BX,1
26580,20720,32820,BX,1
26610,73120,68020,BX,1
26630,40930,18630,K,1
26700,35020,72720,BX,2
26700,73120,68020,BX,1
26760,42820,69320,BX,2
26760,69320,72720,BX,1
26760,78750,36420,BX,1
26880,46620,13620,BX,1
26910,22320,20220,BX,1
26940,73820,51620,BX,1
26970,52120,36420,BX,1
27000,13820,0,BX,1
27030,0,0,K,2
27030,16120,13820,BX,1
27030,20220,59520,BX,2
27030,49120,49520,BX,1
27030,51720,44720,BX,1
27030,59520,49120,BX,1
27060,9520,41320,BX,1
27060,20220,59520,BX,1
27090,23220,72320,BX,1
27090,40720,23220,BX,2
27090,72320,16120,BX,1
27120,0,0,BX,1
27120,33060,73720,BX,6
27120,40404,40404,BX,3
27150,40404,40404,BX,1
27180,52120,21820,BX,1
27270,73720,56820,BX,1
27300,36420,70720,BX,1
27330,67030,58730,K,1
27430,63030,93230,K,1
27430,93230,31530,K,1
27480,49420,23920,BX,1
27480,70720,14620,BX,2
27530,73220,53830,K,1
27530,75530,81330,K,1
27530,81330,13430,K,1
27600,21820,36420,BX,1
27600,23920,73720,BX,1
27600,70720,14620,BX,2
27750,23920,73720,BX,1
27750,71820,36420,BX,1
27780,0,0,BX,1
27810,10020,58020,BX,1
27840,10020,58020,BX,1
27900,41420,23920,BX,1
27930,44620,66820,BX,1
28020,24020,10020,BX,1
28080,10620,15620,BX,1
28230,57930,10080,K,1
28290,18120,77150,BX,1
28320,53420,12550,BX,1
28350,77150,10620,BX,1
28380,10620,15620,BX,1
28380,18120,77150,BX,1
28380,57320,45020,BX,6
28390,53830,18950,K,1
28410,15020,18120,BX,1
28470,57320,45020,BX,1
28530,15620,57320,BX,1
28560,15620,57320,BX,1
28560,57320,45020,BX,1
28590,57320,45020,BX,1
28620,77150,17320,BX,1
28650,77150,17320,BX,1
28830,6880,90230,K,1
28830,14030,14080,K,4
28830,14080,24850,K,6
28830,14130,14180,K,2
28830,14180,56825,K,5
28830,14380,73030,K,1
28830,14580,14630,K,5
28830,24850,14130,K,5
28830,29630,33530,K,1
28830,32930,6880,K,1
28830,38930,73500,K,2
28830,40404,40404,K,3
28830,44430,13980,K,3
28830,90230,65030,K,2
29020,70720,14620,BX,1
29030,18330,73145,K,1
29120,21820,36420,BX,1
29120,52120,21820,BX,1
29320,15620,20520,BX,1
29320,41420,23920,BX,1
29330,93530,54100,K,1
29620,9520,41320,BX,1
29620,24790,30915,BX,1
29620,49520,65320,BX,2
29620,72720,52120,BX,1
29630,28830,35280,K,1
29630,35180,28830,K,1
29630,35380,35430,K,1
29630,35630,35680,K,1
29630,35680,67530,K,2
29630,35730,40930,K,1
29630,36080,36130,K,3
29630,40930,35780,K,4
29820,62820,46850,BX,2
29830,13430,68930,K,3
29830,32130,74630,K,1
29830,81330,13430,K,1
29830,90930,43230,K,1
29930,25330,93530,K,1
30130,14880,88830,K,3
30630,17230,17230,K,1
30930,12130,86030,K,1
30930,23330,54070,K,1
30930,64830,23330,K,1
30930,67030,64830,K,1
30930,75430,86630,K,1
31020,49520,65320,BX,2
31220,30020,17120,BX,1
31220,58620,53720,BX,1
31330,8780,6880,K,1
31520,47420,37520,BX,1
31530,0,0,K,4
31530,93530,54100,K,1
31820,12550,8020,BX,2
31820,60520,65520,BX,1
31830,29830,20110,K,1
31830,67030,64830,K,1
31830,73470,38430,K,1
31950,0,0,K,10
32030,73110,50930,K,1
32030,82930,73190,K,1
32130,0,0,K,1
32320,42920,64520,BX,1
32420,9320,29320,BX,1
32420,24585,16620,BX,1
32420,35680,13820,BX,2
32420,48020,8320,BX,1
32820,26580,26610,BX,1
32820,26610,26640,BX,1
32820,26730,12550,BX,1
33030,27630,54830,K,1
33890,23590,25790,BX,2
33920,12550,56020,BX,1
33930,43330,72930,K,1
34130,0,0,K,1
34130,66330,66230,K,1
34130,78130,78230,K,1
34220,26700,26730,BX,2
34230,0,0,K,1
34230,28730,85630,K,1
34230,93250,42730,K,1
34330,73470,68630,K,2
34420,56020,12550,BX,1
34820,16720,45120,BX,2
34880,12330,26230,K,1
34880,19630,13830,K,1
34880,25130,12330,K,1
35020,50120,26670,BX,1
35030,0,0,K,2
35030,14380,39740,K,2
35030,29630,32930,K,2
35080,14530,14580,K,1
35080,14730,54430,K,1
35080,53960,14880,K,1
35130,14530,14580,K,2
35130,14580,14630,K,2
35180,0,0,K,3
35180,13830,29630,K,2
35180,14530,14580,K,2
35180,19630,13830,K,4
35180,29630,32930,K,1
35330,0,0,K,5
35330,14580,14630,K,1
35330,54050,14480,K,3
35380,0,0,K,3
35380,14030,14080,K,1
35380,14230,38930,K,1
35380,14830,58750,K,1
35430,0,0,K,2
35430,14280,14330,K,1
35480,14330,14380,K,1
35480,14380,54050,K,3
35480,14630,14680,K,1
35480,14680,45730,K,3
35480,14730,14780,K,1
