BOROUGH,NEIGHBORHOOD,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,SALE_PRICE
3,BUSHWICK,3,0,3,2000,3900,2005,950000
3,BAY RIDGE,1,0,1,2240,2080,1925,950000
1,CHELSEA,0,0,0,-,-,1938,950000
3,BEDFORD STUYVESANT,1,0,1,-,-,2015,950000
3,DYKER HEIGHTS,2,0,2,1940,1480,1935,950000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1949,950000
4,BAYSIDE,1,0,1,4000,1962,1960,950000
4,GLENDALE,3,0,3,3367,3100,1965,950000
3,BROOKLYN HEIGHTS,1,0,1,-,-,1921,950000
3,BUSHWICK,2,0,2,1768,2000,1915,950000
3,BOROUGH PARK,2,1,3,2017,4640,1920,950000
1,SOUTHBRIDGE,0,0,0,-,-,1971,949000
4,FLUSHING-SOUTH,4,0,4,3644,3000,1952,949000
4,EAST ELMHURST,2,0,2,2460,1812,1920,948500
3,BEDFORD STUYVESANT,1,0,1,-,-,2016,945954
5,PLEASANT PLAINS,1,0,1,11324,3800,1992,945000
3,BEDFORD STUYVESANT,1,0,1,-,-,1899,944288
5,ROSEBANK,1,0,1,4000,2244,2005,940000
4,GLENDALE,2,0,2,2700,2368,1930,940000
3,OCEAN PARKWAY-NORTH,2,0,2,2165,1120,1920,940000
4,MIDDLE VILLAGE,2,0,2,4667,1980,1930,940000
4,CORONA,2,0,2,1500,1500,1935,937527
3,BRIGHTON BEACH,1,0,1,-,-,2016,936270
1,GREENWICH VILLAGE-WEST,0,0,0,-,-,1910,936225
1,CLINTON,1,0,1,-,-,1950,935000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,-,935000
4,BAYSIDE,2,0,2,3000,1384,1960,931200
3,BENSONHURST,1,0,1,2500,1392,1935,930000
1,MORNINGSIDE HEIGHTS,0,0,0,-,-,1926,930000
1,HARLEM-CENTRAL,1,0,1,-,-,2005,930000
3,BENSONHURST,1,0,1,2000,1800,1930,929000
4,ASTORIA,1,0,1,2000,1320,1940,927000
4,FLUSHING-NORTH,1,0,1,-,-,2014,925974
1,MIDTOWN EAST,0,0,0,-,-,1929,925000
3,OCEAN PARKWAY-NORTH,1,0,1,-,-,-,925000
1,MIDTOWN WEST,1,0,1,-,-,-,925000
1,MURRAY HILL,1,0,1,-,-,-,925000
5,WILLOWBROOK,1,0,1,4900,2608,1965,925000
3,BOROUGH PARK,1,0,1,-,-,1999,925000
4,SUNNYSIDE,2,1,3,1800,2268,1930,925000
1,LOWER EAST SIDE,0,0,0,-,-,1955,925000
4,CORONA,3,0,3,2500,1602,1915,925000
4,FLUSHING-NORTH,1,0,1,-,-,2015,922267
3,PARK SLOPE SOUTH,1,0,1,-,-,2004,922000
4,FLUSHING-NORTH,1,0,1,3042,1872,1910,920000
4,FLUSHING-NORTH,1,0,1,-,-,2014,917443
4,BELLE HARBOR,1,0,1,3000,1422,1930,915000
4,BELLE HARBOR,2,0,2,6000,1928,1930,915000
3,DYKER HEIGHTS,1,0,1,1900,1456,1925,915000
4,ELMHURST,3,0,3,2500,1932,1910,915000
2,RIVERDALE,1,0,1,4750,2374,1935,915000
2,CITY ISLAND,1,0,1,7500,1944,1965,914000
1,WASHINGTON HEIGHTS UPPER,2,0,2,1667,2544,1899,911460
1,GREENWICH VILLAGE-WEST,1,0,1,-,-,1930,910000
4,FLUSHING-NORTH,1,0,1,3675,1116,1920,905000
3,CROWN HEIGHTS,1,0,1,-,-,2007,905000
4,FLUSHING-NORTH,1,0,1,-,-,2016,902411
1,GREENWICH VILLAGE-WEST,1,0,1,-,-,1900,901151
4,LONG ISLAND CITY,3,0,3,2521,2436,1920,900000
4,CORONA,2,0,2,2500,3900,2004,900000
3,BOROUGH PARK,3,0,3,2554,2750,1920,900000
4,CORONA,2,0,2,2544,2160,1920,900000
3,BOROUGH PARK,1,0,1,-,-,-,900000
4,FLUSHING-NORTH,1,0,1,3800,1196,1950,900000
1,CHELSEA,0,0,0,-,-,1950,900000
3,BOROUGH PARK,3,0,3,2003,2560,1960,900000
5,WILLOWBROOK,1,0,1,4658,2880,1996,900000
5,DONGAN HILLS,1,0,1,6000,2445,1965,900000
3,BEDFORD STUYVESANT,0,0,0,-,-,-,899000
1,CLINTON,0,0,0,-,-,1910,899000
1,UPPER WEST SIDE (79-96),1,0,1,-,-,1900,899000
3,CLINTON HILL,1,0,1,-,-,1920,899000
3,WILLIAMSBURG-SOUTH,1,0,1,-,-,2009,896060
5,DONGAN HILLS,1,0,1,3761,2050,2016,890968
4,LONG ISLAND CITY,0,0,0,-,-,-,890968
4,FLUSHING-NORTH,2,0,2,2500,2184,1999,890000
3,MADISON,1,0,1,2000,1844,1925,890000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,1962,890000
4,HOLLIS HILLS,1,0,1,5000,3200,1955,890000
3,GRAVESEND,2,0,2,2000,1790,1920,890000
1,HARLEM-CENTRAL,1,0,1,-,-,2005,890000
3,BEDFORD STUYVESANT,1,0,1,1667,2001,1899,890000
1,LOWER EAST SIDE,0,0,0,-,-,1955,888000
3,DOWNTOWN-METROTECH,1,0,1,-,-,-,885000
4,ARVERNE,2,0,2,3684,2920,2007,885000
3,BOROUGH PARK,1,0,1,-,-,2005,885000
4,ELMHURST,2,0,2,1900,2004,1901,883000
1,TRIBECA,1,0,1,-,-,-,883000
3,WILLIAMSBURG-NORTH,0,0,0,-,-,-,882000
2,MORRISANIA/LONGWOOD,4,0,4,1769,3610,1910,880000
4,MIDDLE VILLAGE,2,0,2,2100,2425,1950,880000
2,KINGSBRIDGE/JEROME PARK,3,0,3,2500,2437,1940,880000
3,DYKER HEIGHTS,1,0,1,2008,1312,1920,880000
3,PROSPECT HEIGHTS,0,0,0,-,-,1921,879000
3,PROSPECT HEIGHTS,1,0,1,-,-,2015,876578
3,WILLIAMSBURG-SOUTH,1,0,1,-,-,2009,875695
3,DOWNTOWN-FULTON MALL,1,0,1,-,-,2014,875695
3,NAVY YARD,2,0,2,1462,1680,1910,875000
4,FLUSHING-SOUTH,1,0,1,3895,2052,1945,875000
4,LITTLE NECK,1,0,1,4000,1536,1950,875000
3,FLATBUSH-CENTRAL,2,1,3,2000,3300,1931,875000
3,WINDSOR TERRACE,1,0,1,-,-,-,875000
4,JACKSON HEIGHTS,1,0,1,4000,1440,1925,875000
4,MIDDLE VILLAGE,2,0,2,3100,2370,1940,875000
4,MASPETH,1,0,1,2475,1316,1935,875000
3,BUSHWICK,2,0,2,1800,2430,1925,875000
5,GRANT CITY,1,0,1,5125,2250,1960,875000
4,FLUSHING-NORTH,1,0,1,-,-,-,875000
1,UPPER WEST SIDE (59-79),0,0,0,-,-,1964,875000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1927,875000
4,FLUSHING-SOUTH,4,0,4,4000,3096,1931,875000
1,CHELSEA,0,0,0,-,-,1900,875000
1,UPPER WEST SIDE (96-116),0,0,0,-,-,1910,875000
4,LITTLE NECK,1,0,1,4200,1144,1955,873000
4,REGO PARK,1,0,1,3091,1776,1925,870000
4,FOREST HILLS,2,0,2,1800,1206,1940,870000
3,WILLIAMSBURG-EAST,1,0,1,-,-,-,870000
5,GREAT KILLS,2,0,2,4050,-,2016,869000
1,TRIBECA,1,0,1,-,-,-,868889
4,FLUSHING-NORTH,1,0,1,4000,1460,1925,868000
4,BAYSIDE,2,0,2,4000,1645,1940,868000
1,CHELSEA,0,0,0,-,-,1963,867500
1,MIDTOWN EAST,0,0,0,-,-,1929,867500
3,PROSPECT HEIGHTS,1,0,1,-,-,2015,867000
3,BROOKLYN HEIGHTS,0,0,0,-,-,1938,865328
4,HOLLIS,2,0,2,5000,3276,2016,865112
1,WASHINGTON HEIGHTS UPPER,0,0,0,-,-,1925,865000
3,BROOKLYN HEIGHTS,0,0,0,-,-,1930,865000
4,ELMHURST,2,0,2,3000,1694,1920,865000
4,MASPETH,2,0,2,2380,2010,1920,862500
3,MARINE PARK,1,0,1,3100,1825,1925,862500
1,MANHATTAN VALLEY,1,0,1,-,-,1941,860201
1,WASHINGTON HEIGHTS UPPER,0,0,0,-,-,1939,860000
4,SO. JAMAICA-BAISLEY PARK,1,0,1,4000,891,1920,860000
4,FLUSHING-NORTH,1,0,1,3800,2548,1960,860000
4,MIDDLE VILLAGE,1,0,1,3358,1791,1940,860000
1,GRAMERCY,0,0,0,-,-,1956,860000
1,GRAMERCY,0,0,0,-,-,1928,860000
4,FAR ROCKAWAY,2,1,3,4339,5103,1930,860000
1,UPPER WEST SIDE (59-79),0,0,0,-,-,1963,860000
5,ANNADALE,2,0,2,6000,3520,1988,860000
2,COUNTRY CLUB,1,0,1,4180,2500,1987,860000
1,LOWER EAST SIDE,0,0,0,-,-,1929,860000
4,EAST ELMHURST,1,0,1,2640,1575,1945,859000
3,CLINTON HILL,1,0,1,-,-,2015,858893
3,BUSHWICK,6,0,6,2500,4875,1906,858000
3,CLINTON HILL,1,0,1,-,-,2015,855330
3,DOWNTOWN-FULTON MALL,0,0,0,-,-,1964,855330
1,KIPS BAY,1,0,1,-,-,1961,855000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1949,855000
1,UPPER WEST SIDE (79-96),0,0,0,-,-,1927,852643
4,WHITESTONE,1,0,1,2835,1514,1940,852000
4,DOUGLASTON,1,0,1,5000,1680,1960,851000
3,GREENPOINT,3,0,3,2500,2640,1899,851000
3,BOROUGH PARK,2,0,2,2500,1600,1920,850000
4,BAYSIDE,1,0,1,4000,1657,1950,850000
3,BOROUGH PARK,2,0,2,2000,3828,1940,850000
3,WILLIAMSBURG-NORTH,0,0,0,-,-,-,850000
1,GREENWICH VILLAGE-WEST,0,0,0,-,-,1925,850000
2,COUNTRY CLUB,3,0,3,4752,3165,1950,850000
3,FLATBUSH-EAST,1,0,1,2200,1512,1925,850000
3,WILLIAMSBURG-NORTH,1,0,1,-,-,2007,850000
4,FLUSHING-NORTH,2,0,2,1958,1560,1950,850000
4,FLUSHING-SOUTH,2,0,2,2200,1848,1940,850000
1,CIVIC CENTER,0,0,0,-,-,1960,850000
3,COBBLE HILL,1,0,1,-,-,1900,850000
4,FLUSHING-SOUTH,2,0,2,2000,2320,1955,850000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1959,850000
3,BOROUGH PARK,2,0,2,2454,2400,1920,850000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,1986,850000
4,RIDGEWOOD,3,0,3,2500,2500,1920,850000
4,BEECHHURST,1,0,1,4000,1050,1955,850000
1,MURRAY HILL,0,0,0,-,-,1953,850000
4,FLUSHING-NORTH,1,0,1,3895,1072,1955,850000
5,TOTTENVILLE,2,0,2,4440,3163,2012,850000
4,DOUGLASTON,1,0,1,-,-,1996,850000
4,OZONE PARK,2,0,2,2500,2329,2006,849999
4,HOWARD BEACH,2,0,2,4042,2296,1955,849000
3,CLINTON HILL,1,0,1,-,-,2011,849000
4,CORONA,2,0,2,2375,1968,1925,847000
3,DYKER HEIGHTS,1,0,1,1500,1242,1920,845000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,-,845000
4,COLLEGE POINT,1,0,1,4009,1215,1945,845000
4,FLUSHING-NORTH,1,0,1,2400,1352,1925,845000
3,BOROUGH PARK,1,0,1,-,-,-,845000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1961,845000
4,BELLEROSE,2,0,2,3100,2060,1935,840000
3,SHEEPSHEAD BAY,4,0,4,2000,2800,1930,840000
3,BOROUGH PARK,3,0,3,2500,2560,1920,840000
3,WINDSOR TERRACE,0,0,0,-,-,1961,840000
1,GRAMERCY,0,0,0,-,-,1931,840000
2,MORRISANIA/LONGWOOD,9,0,9,2162,8137,1904,840000
4,FLORAL PARK,1,0,1,4000,1925,1955,838000
4,BAYSIDE,1,0,1,7933,2136,1940,837500
3,BRIGHTON BEACH,2,0,2,2200,1861,1940,837000
3,MILL BASIN,1,0,1,5200,972,1950,836500
4,WHITESTONE,1,0,1,2056,1554,1965,835000
2,RIVERDALE,1,0,1,5000,1470,1925,835000
4,FLUSHING-SOUTH,1,0,1,4000,1510,1955,835000
3,BATH BEACH,2,0,2,2017,1240,1940,835000
3,DYKER HEIGHTS,1,0,1,1850,1344,1925,835000
3,WINDSOR TERRACE,0,0,0,-,-,1970,835000
4,FLUSHING-NORTH,1,0,1,-,-,2016,830625
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1920,830000
4,FLUSHING-NORTH,1,0,1,4560,1334,1935,830000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1937,830000
4,COLLEGE POINT,1,0,1,7500,1432,1925,830000
3,WILLIAMSBURG-EAST,1,0,1,-,-,2006,830000
4,OAKLAND GARDENS,1,0,1,2688,1300,1960,829000
3,GRAVESEND,1,0,1,2000,1440,1925,828000
3,FLATBUSH-NORTH,2,0,2,2300,1960,1955,825000
4,GLENDALE,4,0,4,2420,3040,1931,825000
1,LOWER EAST SIDE,0,0,0,-,-,1955,825000
5,ELTINGVILLE,2,0,2,4000,2000,2003,825000
3,FLATBUSH-CENTRAL,1,0,1,-,-,2010,825000
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1973,824782
1,CLINTON,1,0,1,-,-,2005,822665
3,FLATBUSH-EAST,1,0,1,2000,1436,1925,821500
4,FLUSHING-NORTH,1,0,1,-,-,2014,820145
1,MIDTOWN WEST,1,0,1,-,-,-,820000
4,FLUSHING-NORTH,0,0,1,-,-,1984,820000
3,OCEAN HILL,4,0,4,2000,5200,1910,820000
4,REGO PARK,1,0,1,-,-,1959,820000
1,HARLEM-UPPER,1,0,1,-,-,2005,819000
4,MIDDLE VILLAGE,2,0,2,1300,1920,1935,818888
4,JACKSON HEIGHTS,1,0,1,2000,1462,1935,817500
2,RIVERDALE,1,0,1,2500,1728,1925,816000
3,BATH BEACH,1,0,1,1983,1420,1945,815000
3,FLATBUSH-CENTRAL,0,0,0,-,-,1924,815000
3,OCEAN PARKWAY-NORTH,2,0,2,2100,1624,1910,815000
1,MIDTOWN WEST,1,0,1,-,-,1968,815000
3,WINDSOR TERRACE,1,0,1,1800,1644,1910,814600
1,WASHINGTON HEIGHTS UPPER,0,0,0,-,-,1939,812500
1,HARLEM-CENTRAL,1,0,1,-,-,2013,810017
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1928,810000
4,JAMAICA ESTATES,1,0,1,4440,1488,1940,810000
1,ALPHABET CITY,1,0,1,-,-,2003,810000
4,LONG ISLAND CITY,0,0,0,-,-,-,809508
3,GRAVESEND,1,0,1,1817,1207,1925,808800
4,REGO PARK,1,0,1,2004,1911,1967,808000
4,OZONE PARK,2,0,2,2375,1327,1925,805924
1,UPPER WEST SIDE (59-79),0,0,0,-,-,1974,805000
3,GREENPOINT,1,0,1,-,-,2009,805000
5,ANNADALE,2,0,2,4000,2392,2015,803399
4,WOODHAVEN,1,1,2,1914,2146,1931,800000
3,WILLIAMSBURG-CENTRAL,1,0,1,-,-,-,800000
3,GRAVESEND,2,0,2,2000,2183,1950,800000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,1987,800000
4,BAYSIDE,1,0,1,3800,1406,1950,800000
4,GLEN OAKS,0,0,0,-,-,1972,800000
4,FLUSHING-SOUTH,1,0,1,3810,1372,1955,800000
3,GRAVESEND,1,0,1,1050,1352,1945,800000
4,BRIARWOOD,1,0,1,3900,1428,1940,800000
4,GLEN OAKS,0,0,0,-,-,1972,800000
3,FLATBUSH-CENTRAL,1,0,1,2020,864,1915,800000
3,GRAVESEND,2,1,3,1280,2040,1920,800000
4,ASTORIA,3,0,3,1800,2086,1935,800000
4,FLUSHING-SOUTH,1,0,1,5625,2932,1940,800000
4,FRESH MEADOWS,1,0,1,5500,3228,1950,800000
2,PELHAM PARKWAY NORTH,1,0,1,10000,3305,1935,800000
3,SUNSET PARK,1,0,1,-,-,2006,800000
4,LONG ISLAND CITY,2,0,2,2500,1978,1925,800000
2,BEDFORD PARK/NORWOOD,2,0,2,2242,1440,1920,800000
4,FOREST HILLS,1,0,1,-,-,1955,800000
4,BAYSIDE,1,0,1,5000,1196,1950,800000
5,NEW DORP-HEIGHTS,1,0,1,4000,2616,1996,800000
5,PRINCES BAY,2,0,2,7644,3088,1986,800000
5,BULLS HEAD,2,0,2,10000,3320,1982,800000
1,UPPER WEST SIDE (79-96),1,0,1,-,-,1986,800000
3,FLATBUSH-CENTRAL,2,0,2,2000,2000,1910,800000
4,EAST ELMHURST,2,0,2,3800,2200,1950,800000
4,ELMHURST,1,1,2,1692,1800,1931,800000
4,OZONE PARK,2,0,2,2000,2675,1925,799999
3,OCEAN PARKWAY-NORTH,0,0,0,-,-,1956,799000
1,UPPER WEST SIDE (59-79),0,0,0,-,-,1964,799000
3,OCEAN HILL,3,0,3,1500,2430,1899,798737
1,FINANCIAL,1,0,1,-,-,1930,798000
4,GLENDALE,1,0,1,2000,1420,1940,798000
1,HARLEM-CENTRAL,1,0,1,-,-,2003,797000
4,MASPETH,2,0,2,2000,1720,1960,795000
3,CARROLL GARDENS,4,0,4,2200,2464,1900,795000
4,GLENDALE,2,0,2,2400,2360,1925,795000
3,BUSHWICK,2,0,2,1875,2160,1920,795000
1,MURRAY HILL,0,0,0,-,-,1925,795000
1,MANHATTAN VALLEY,1,0,1,-,-,-,795000
4,FLUSHING-NORTH,1,0,1,4000,945,1955,793000
1,GREENWICH VILLAGE-WEST,0,0,0,-,-,1930,792500
5,TOTTENVILLE,2,0,2,4800,2400,1995,792000
4,ELMHURST,1,0,1,2375,1720,1930,790000
5,TOMPKINSVILLE,1,0,1,5247,1064,1910,790000
1,MIDTOWN CBD,1,0,1,-,-,1956,790000
4,RICHMOND HILL,3,1,4,2037,2760,1920,790000
4,RICHMOND HILL,2,0,2,5000,2937,1915,790000
1,LOWER EAST SIDE,0,0,0,-,-,1929,790000
5,OAKWOOD-BEACH,2,0,2,4500,1936,1970,790000
3,BROWNSVILLE,2,0,2,1600,1920,2002,790000
1,FASHION,1,0,1,-,-,2004,790000
3,BATH BEACH,1,0,1,1384,992,1950,786000
4,JACKSON HEIGHTS,1,0,1,1900,1360,1935,785000
5,RICHMONDTOWN,1,0,1,8000,2144,1955,785000
4,MASPETH,1,0,1,2314,1824,1955,785000
4,MIDDLE VILLAGE,2,0,2,1900,2518,1965,785000
1,HARLEM-CENTRAL,1,0,1,-,-,-,785000
4,FLUSHING-NORTH,1,0,1,-,-,2015,783785
3,CONEY ISLAND,2,0,2,2375,1768,1920,782700
4,FOREST HILLS,0,0,0,-,-,1953,782071
5,GREAT KILLS-BAY TERRACE,2,0,2,4576,2444,1965,780000
1,FINANCIAL,1,0,1,-,-,1930,780000
3,MADISON,1,0,1,2667,1260,1925,780000
4,JAMAICA ESTATES,1,0,1,4480,1600,1940,780000
4,GLENDALE,2,0,2,2342,2440,1930,780000
3,SHEEPSHEAD BAY,2,0,2,2200,2024,1950,779000
3,GREENPOINT,0,0,0,-,-,-,778961
5,BULLS HEAD,1,0,1,3388,2288,2015,778961
4,FLUSHING-NORTH,1,0,1,-,-,2016,778185
2,WILLIAMSBRIDGE,3,0,3,2143,3259,2004,777590
4,FLUSHING-NORTH,1,0,1,-,-,2015,775130
2,SCHUYLERVILLE/PELHAM BAY,2,0,2,4160,2800,2001,775000
1,GRAMERCY,0,0,0,-,-,1976,775000
4,RICHMOND HILL,1,0,1,3500,2198,1925,775000
4,FLUSHING-NORTH,1,0,1,4000,1449,1930,775000
5,ELTINGVILLE,1,0,1,11660,1408,1955,775000
4,FLUSHING-SOUTH,1,0,1,1800,1575,1945,775000
3,KENSINGTON,0,0,0,-,-,1965,775000
3,CLINTON HILL,0,0,0,-,-,1946,775000
5,PRINCES BAY,2,0,2,3340,2304,2005,775000
1,FINANCIAL,1,0,1,-,-,1903,775000
2,RIVERDALE,1,0,1,-,-,-,774000
3,PROSPECT HEIGHTS,0,0,0,-,-,1926,772513
4,MIDDLE VILLAGE,1,0,1,1904,1782,1945,772000
1,UPPER EAST SIDE (59-79),1,0,1,-,-,1986,770000
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1973,770000
4,ASTORIA,1,0,1,-,-,2008,770000
1,MANHATTAN VALLEY,1,0,1,-,-,1960,770000
4,FRESH MEADOWS,1,0,1,4000,1600,1935,768000
4,ELMHURST,1,0,1,1842,1152,1945,768000
3,WINDSOR TERRACE,1,0,1,-,-,1900,767500
1,GRAMERCY,0,0,0,-,-,1963,765824
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1910,765000
4,FLUSHING-NORTH,1,0,1,4025,1050,1950,765000
3,BUSHWICK,2,0,2,2000,2700,1910,765000
1,HARLEM-UPPER,1,0,1,-,-,1913,765000
1,MURRAY HILL,0,0,0,-,-,1984,765000
2,MOUNT HOPE/MOUNT EDEN,3,0,3,2240,4494,1899,764500
3,EAST NEW YORK,2,0,2,2650,2640,1930,764000
3,MADISON,1,0,1,-,-,2015,763687
3,WILLIAMSBURG-EAST,1,0,1,-,-,1901,763687
4,FLUSHING-NORTH,1,0,1,2000,1260,1935,760000
3,BERGEN BEACH,2,0,2,2500,1836,1965,760000
4,BAYSIDE,1,0,1,-,-,1972,760000
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1952,760000
3,PARK SLOPE,0,0,0,-,-,1900,759000
3,WINDSOR TERRACE,0,0,0,-,-,1931,757500
5,TOTTENVILLE,2,0,2,4361,2900,2000,755000
4,DOUGLASTON,1,0,1,1827,1368,1975,754000
3,BEDFORD STUYVESANT,0,0,0,-,-,-,753505
5,NEW BRIGHTON-ST. GEORGE,1,0,1,-,-,1985,753000
4,ROSEDALE,2,0,2,4121,-,2016,753000
1,CHELSEA,0,0,0,-,-,1900,750000
4,HOLLIS,0,0,0,6623,-,-,750000
1,MIDTOWN EAST,0,0,0,-,-,1929,750000
1,UPPER WEST SIDE (59-79),0,0,0,-,-,1900,750000
4,OAKLAND GARDENS,1,0,1,2642,1152,1950,750000
4,COLLEGE POINT,2,0,2,2500,1545,1920,750000
5,WESTERLEIGH,2,0,2,5760,2700,1970,750000
3,BEDFORD STUYVESANT,1,0,1,-,-,2014,750000
4,HOWARD BEACH,2,0,2,3200,2208,1960,750000
1,UPPER WEST SIDE (79-96),0,0,0,-,-,1910,750000
2,PELHAM PARKWAY SOUTH,4,0,4,2925,3041,1930,750000
3,BEDFORD STUYVESANT,4,0,4,2000,2700,1931,750000
4,COLLEGE POINT,2,0,2,2500,1716,1920,750000
1,SOUTHBRIDGE,0,0,0,-,-,1971,750000
3,PARK SLOPE SOUTH,1,0,1,-,-,-,750000
3,BEDFORD STUYVESANT,2,0,2,1750,2100,1910,750000
3,GRAVESEND,1,0,1,1950,1280,1925,750000
1,ALPHABET CITY,0,0,0,-,-,1928,750000
3,PARK SLOPE,0,0,0,-,-,1910,749000
3,PARK SLOPE,0,0,0,-,-,1921,749000
4,FLUSHING-NORTH,1,0,1,-,-,2016,747128
4,BAYSIDE,0,0,0,-,-,1969,747000
4,SOUTH OZONE PARK,2,0,2,4000,1825,1955,747000
5,WESTERLEIGH,1,0,1,3780,1632,1950,745000
4,LAURELTON,2,0,2,3200,1316,1930,745000
4,MASPETH,1,0,1,2000,1520,1940,745000
3,SHEEPSHEAD BAY,1,0,1,2520,1312,1930,745000
4,HOWARD BEACH,2,0,2,3785,2400,2003,745000
5,NEW SPRINGVILLE,2,0,2,4200,2550,1970,743000
3,MARINE PARK,0,1,1,1679,1539,1930,742000
4,MIDDLE VILLAGE,1,0,1,1800,1152,1940,740000
1,UPPER WEST SIDE (96-116),1,0,1,-,-,1909,740000
3,EAST NEW YORK,6,0,6,2500,4500,1915,740000
4,SOUTH OZONE PARK,2,0,2,3000,1532,1930,740000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,-,740000
1,FINANCIAL,1,0,1,-,-,1987,740000
4,MIDDLE VILLAGE,1,0,1,1993,1632,1925,739000
4,WHITESTONE,1,0,1,3325,1440,1930,739000
4,FLUSHING-NORTH,1,0,1,-,-,2014,738231
3,BENSONHURST,1,0,1,-,-,-,738000
3,WILLIAMSBURG-EAST,1,0,1,-,-,2009,737500
3,MARINE PARK,1,0,1,1975,1408,1930,737000
3,PROSPECT HEIGHTS,0,0,0,-,-,1959,735500
4,OZONE PARK,2,0,2,2000,2048,1920,735000
3,COBBLE HILL,1,0,1,-,-,1928,735000
4,MIDDLE VILLAGE,1,0,1,2000,1460,1950,735000
3,WILLIAMSBURG-NORTH,1,0,1,-,-,2007,735000
1,CHELSEA,0,0,0,-,-,2003,735000
4,WHITESTONE,0,1,1,2500,2475,1952,735000
3,EAST NEW YORK,2,0,2,2000,2000,1910,735000
3,CROWN HEIGHTS,0,0,0,-,-,1937,735000
1,CHINATOWN,1,0,1,-,-,-,735000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,1973,735000
4,FLUSHING-NORTH,1,0,1,1854,1620,1950,735000
5,ELTINGVILLE,1,0,1,4180,2280,2003,735000
4,ARVERNE,1,0,1,3667,2515,2014,733140
3,GRAVESEND,1,0,1,1500,1184,1925,733000
1,UPPER WEST SIDE (96-116),0,0,0,-,-,1910,732000
1,SOUTHBRIDGE,0,0,0,-,-,1971,732000
3,WILLIAMSBURG-CENTRAL,1,0,1,-,-,2013,730120
3,FLATBUSH-EAST,2,0,2,4000,3201,1899,730000
4,GLENDALE,4,0,4,2423,3000,1931,730000
4,WHITESTONE,1,0,1,2500,1500,2007,730000
1,MIDTOWN WEST,0,0,0,-,-,1923,730000
3,DOWNTOWN-METROTECH,0,0,0,-,-,1950,730000
4,FOREST HILLS,1,0,1,5000,1820,1935,729000
4,QUEENS VILLAGE,2,0,2,1763,2200,2002,729000
4,ELMHURST,2,0,2,2600,1476,1920,728000
5,ROSEBANK,3,0,3,6050,3008,1910,727000
5,WEST NEW BRIGHTON,2,0,2,6000,2488,1905,726500
1,FINANCIAL,1,0,1,-,-,1956,725000
4,RICHMOND HILL,2,0,2,2325,1938,1920,725000
3,BERGEN BEACH,3,0,3,2167,2950,1970,725000
2,PARKCHESTER,3,1,4,4725,3864,1927,725000
3,MADISON,1,0,1,2600,1256,1915,725000
1,HARLEM-EAST,0,0,0,-,-,2005,725000
3,DOWNTOWN-FULTON MALL,0,0,0,-,-,1964,725000
4,FLUSHING-NORTH,1,0,1,-,-,2015,724727
4,MIDDLE VILLAGE,1,0,1,1942,1282,1935,720000
4,RICHMOND HILL,2,0,2,2800,1784,1920,720000
5,GREAT KILLS,2,0,2,3920,2100,2003,720000
1,MIDTOWN EAST,0,0,0,-,-,1955,718000
4,BAYSIDE,1,0,1,-,-,1982,718000
4,HOWARD BEACH,1,0,1,4000,2100,1965,715000
4,FLUSHING-NORTH,1,0,1,4000,1166,1950,715000
5,DONGAN HILLS,2,0,2,5655,1880,1945,715000
3,FLATBUSH-CENTRAL,1,0,1,3075,1410,1899,715000
5,ARROCHAR-SHORE ACRES,2,0,2,3338,2246,2004,715000
4,EAST ELMHURST,3,0,3,2000,2400,1915,712775
1,FINANCIAL,1,0,1,-,-,1956,712000
3,GREENPOINT,1,0,1,-,-,2014,711756
4,CORONA,2,0,2,2800,1224,1901,710000
2,PELHAM PARKWAY SOUTH,1,0,1,4524,2010,1925,710000
1,MIDTOWN EAST,0,0,0,-,-,1977,706000
4,SOUTH OZONE PARK,2,0,2,4000,2200,2005,705000
4,FLUSHING-SOUTH,1,0,1,2525,1400,1960,705000
1,TRIBECA,1,0,1,-,-,-,705000
3,BEDFORD STUYVESANT,1,0,1,-,-,2010,705000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1966,705000
3,FLATBUSH-NORTH,4,0,4,2675,3280,1931,705000
4,FLUSHING-NORTH,1,0,1,-,-,2015,704871
