BOROUGH,NEIGHBORHOOD,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,SALE_PRICE
1,TRIBECA,1,0,1,-,-,2006,3000000
1,MIDTOWN WEST,1,0,1,-,-,1982,3000000
2,BAYCHESTER,0,1,1,22000,20500,1952,3000000
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1987,2999000
1,CIVIC CENTER,1,0,1,-,-,2009,2985000
1,FLATIRON,0,0,0,-,-,-,2975276
1,MIDTOWN EAST,16,2,18,1856,7370,1930,2950000
2,RIVERDALE,1,0,1,12200,3000,1910,2942500
1,KIPS BAY,1,0,1,-,-,2014,2925000
1,GREENWICH VILLAGE-CENTRAL,0,0,0,-,-,-,2925000
1,TRIBECA,1,0,1,-,-,2006,2920000
1,UPPER EAST SIDE (59-79),1,0,1,-,-,1990,2900000
1,UPPER WEST SIDE (59-79),1,0,1,-,-,-,2900000
2,WAKEFIELD,0,2,2,6375,28300,1923,2900000
1,UPPER WEST SIDE (96-116),0,0,0,-,-,1926,2875000
1,CIVIC CENTER,1,0,1,-,-,1930,2875000
3,CROWN HEIGHTS,2,0,2,7515,-,1925,2870000
3,PARK SLOPE,0,0,0,-,-,-,2850000
1,FINANCIAL,1,0,1,-,-,1914,2850000
3,BROOKLYN HEIGHTS,1,0,1,-,-,2015,2849419
1,UPPER WEST SIDE (59-79),1,0,1,-,-,1989,2837500
1,CHELSEA,1,0,1,-,-,1911,2835000
4,FOREST HILLS,1,0,1,9695,3737,1940,2831000
3,BOERUM HILL,4,1,5,1800,3200,1915,2825000
1,TRIBECA,0,0,0,-,-,1915,2800000
3,GREENPOINT,4,0,4,1760,2900,1930,2800000
1,UPPER WEST SIDE (59-79),1,0,1,-,-,1932,2800000
1,MIDTOWN CBD,1,0,1,-,-,-,2800000
1,SOUTHBRIDGE,1,0,1,-,-,-,2800000
3,BOERUM HILL,0,2,2,2600,4620,1900,2800000
1,MIDTOWN EAST,1,0,1,-,-,1985,2800000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,1981,2800000
1,CHELSEA,1,0,1,-,-,2013,2760000
3,WILLIAMSBURG-NORTH,1,0,1,-,-,2007,2760000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1931,2750000
1,CHELSEA,0,0,0,-,-,-,2750000
3,CROWN HEIGHTS,4,1,5,1920,6720,1930,2750000
1,CHELSEA,1,0,1,-,-,1875,2750000
1,FLATIRON,1,0,1,-,-,2008,2749000
1,UPPER WEST SIDE (59-79),1,0,1,-,-,2009,2746000
1,UPPER EAST SIDE (59-79),1,0,1,-,-,1951,2740000
1,CHELSEA,1,0,1,-,-,-,2735000
3,BEDFORD STUYVESANT,6,1,7,2340,6000,1930,2720000
1,MIDTOWN EAST,1,0,1,-,-,2006,2700000
1,UPPER EAST SIDE (59-79),1,0,1,-,-,1985,2700000
1,KIPS BAY,1,0,1,-,-,1988,2700000
1,TRIBECA,0,0,0,-,-,1915,2700000
3,PARK SLOPE SOUTH,6,0,6,2500,4755,1907,2700000
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1920,2700000
1,CHINATOWN,0,2,2,1098,2712,1915,2700000
3,DOWNTOWN-FULTON MALL,1,0,1,-,-,2014,2693271
3,BEDFORD STUYVESANT,3,1,4,1573,4720,1931,2675000
3,GOWANUS,1,0,1,-,-,2015,2640000
1,FLATIRON,1,0,1,-,-,2015,2624529
1,MANHATTAN VALLEY,0,0,0,-,-,1930,2624453
1,ALPHABET CITY,1,0,1,-,-,2014,2611811
1,MURRAY HILL,1,0,1,-,-,1917,2600000
1,UPPER WEST SIDE (79-96),0,0,0,-,-,1931,2600000
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1966,2600000
4,ASTORIA,9,0,9,2250,6900,1935,2592000
1,MURRAY HILL,1,0,1,-,-,-,2580000
1,GRAMERCY,1,0,1,-,-,-,2575000
1,FLATIRON,1,0,1,-,-,1913,2570000
1,MIDTOWN EAST,1,0,1,-,-,-,2562125
1,MIDTOWN EAST,1,0,1,-,-,2008,2560888
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1925,2550000
3,CLINTON HILL,1,0,1,1250,2220,1901,2550000
1,MURRAY HILL,1,0,1,-,-,1960,2512500
1,MIDTOWN EAST,0,0,0,-,-,1932,2500000
2,RIVERDALE,0,0,0,15916,-,-,2500000
3,MANHATTAN BEACH,0,0,0,6000,-,-,2500000
1,GRAMERCY,0,0,0,-,-,1956,2500000
4,FLUSHING-NORTH,2,0,2,3200,2198,1920,2500000
3,FLATBUSH-CENTRAL,1,0,1,5500,3492,1910,2499000
1,CHELSEA,0,0,0,-,-,1910,2495000
4,FLUSHING-NORTH,0,0,1,-,-,2014,2484035
1,UPPER EAST SIDE (96-110),0,0,0,-,-,1924,2474347
1,MIDTOWN EAST,1,0,1,-,-,2008,2459063
1,HARLEM-CENTRAL,4,0,4,2498,7230,1900,2450000
1,TRIBECA,1,0,1,-,-,-,2450000
3,DOWNTOWN-FULTON FERRY,1,0,1,-,-,1905,2428000
3,PARK SLOPE,0,0,1,-,-,-,2405000
2,CROTONA PARK,2,2,4,12342,2880,1920,2400000
5,WEST NEW BRIGHTON,0,5,5,26941,13600,1931,2400000
1,GREENWICH VILLAGE-CENTRAL,0,0,0,-,-,1923,2400000
3,GREENPOINT,3,0,3,2500,3150,1901,2400000
1,GREENWICH VILLAGE-CENTRAL,0,0,0,-,-,1930,2400000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1959,2399685
1,UPPER WEST SIDE (59-79),0,0,0,-,-,1926,2397000
3,BEDFORD STUYVESANT,2,0,2,1667,3334,2016,2395000
1,UPPER EAST SIDE (96-110),0,0,0,-,-,1927,2395000
2,MOTT HAVEN/PORT MORRIS,0,1,1,7500,5000,1931,2350000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1955,2350000
1,UPPER EAST SIDE (59-79),1,0,1,-,-,-,2325000
1,TRIBECA,1,0,1,-,-,2005,2310000
1,EAST VILLAGE,0,0,0,-,-,1870,2300000
1,HARLEM-EAST,9,1,10,1083,3532,1900,2300000
1,UPPER WEST SIDE (79-96),0,0,0,-,-,1926,2300000
1,UPPER WEST SIDE (59-79),1,0,1,-,-,-,2300000
3,SUNSET PARK,4,2,6,1430,3922,1935,2300000
1,UPPER WEST SIDE (59-79),0,0,0,-,-,1964,2300000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,2005,2300000
3,PARK SLOPE,2,0,2,1530,3128,1899,2300000
3,DOWNTOWN-FULTON MALL,1,0,1,-,-,2014,2278789
1,CHINATOWN,1,0,1,-,-,1920,2275000
4,LONG ISLAND CITY,2,0,2,1650,2228,1881,2275000
3,MANHATTAN BEACH,1,0,1,4000,4730,1920,2267500
1,UPPER EAST SIDE (59-79),1,0,1,-,-,1986,2265000
1,GREENWICH VILLAGE-CENTRAL,0,0,0,-,-,1900,2255000
3,OCEAN PARKWAY-SOUTH,1,0,1,5000,1368,1925,2250000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1958,2240000
1,CHELSEA,1,0,1,-,-,2006,2235000
3,DOWNTOWN-FULTON FERRY,1,0,1,-,-,1905,2227931
4,LONG ISLAND CITY,1,0,1,-,-,2008,2224000
3,DOWNTOWN-FULTON MALL,1,0,1,-,-,2014,2221585
3,WINDSOR TERRACE,3,0,3,1260,4209,1920,2200000
4,FLUSHING-NORTH,0,0,1,-,-,2014,2199583
3,DOWNTOWN-FULTON FERRY,1,0,1,-,-,1905,2190255
3,BEDFORD STUYVESANT,8,0,8,2500,8130,2008,2185000
1,MIDTOWN EAST,0,0,0,-,-,1960,2178000
1,UPPER EAST SIDE (59-79),1,0,1,-,-,1996,2175000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,1984,2160000
1,MURRAY HILL,1,0,1,-,-,1924,2150000
1,UPPER WEST SIDE (59-79),0,0,0,-,-,1906,2120000
3,BROOKLYN HEIGHTS,1,0,1,-,-,2015,2116279
1,UPPER EAST SIDE (79-96),1,0,1,-,-,1985,2100000
1,HARLEM-UPPER,4,0,4,1898,4112,1899,2100000
1,MIDTOWN WEST,1,0,1,-,-,2006,2092200
1,UPPER WEST SIDE (96-116),1,0,1,-,-,1920,2087412
1,MIDTOWN WEST,1,0,1,-,-,2004,2075000
1,MIDTOWN WEST,1,0,1,-,-,2006,2075000
1,CLINTON,1,0,1,-,-,2008,2067047
3,DOWNTOWN-FULTON MALL,1,0,1,-,-,2014,2061956
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1983,2060000
3,NAVY YARD,2,0,2,1476,3882,2007,2050000
3,WILLIAMSBURG-NORTH,1,0,1,-,-,-,2035000
1,MIDTOWN EAST,1,0,1,-,-,-,2034575
1,UPPER WEST SIDE (59-79),1,0,1,-,-,2006,2025000
3,DOWNTOWN-METROTECH,3,0,3,1953,3016,1935,2025000
1,UPPER WEST SIDE (79-96),1,0,1,-,-,2011,2018250
3,GRAVESEND,3,0,3,2900,3654,2015,2016135
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1963,2005000
1,MIDTOWN CBD,1,0,1,-,-,1975,2000000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1966,2000000
2,MORRISANIA/LONGWOOD,0,1,1,7500,7500,1937,2000000
1,HARLEM-CENTRAL,5,0,5,1665,3334,1910,2000000
3,MIDWOOD,1,0,1,3750,3604,1925,2000000
1,GREENWICH VILLAGE-CENTRAL,0,0,0,-,-,1923,2000000
3,CROWN HEIGHTS,2,0,2,2250,5774,1925,2000000
3,BEDFORD STUYVESANT,3,0,3,1940,3200,1899,2000000
4,FOREST HILLS,1,0,1,3830,1650,1935,2000000
3,RED HOOK,2,0,2,1875,1800,1920,2000000
3,DOWNTOWN-FULTON MALL,1,0,1,-,-,2014,1995770
3,BOERUM HILL,1,0,1,-,-,2016,1995000
3,BROOKLYN HEIGHTS,1,0,1,-,-,2008,1987500
3,FLATBUSH-CENTRAL,1,0,1,4500,1630,1899,1985000
2,FORDHAM,10,0,10,3355,13815,1913,1975000
1,UPPER WEST SIDE (79-96),0,0,0,-,-,1914,1975000
3,BOROUGH PARK,3,0,3,2504,4396,1950,1960000
1,KIPS BAY,1,0,1,-,-,-,1955000
3,BROOKLYN HEIGHTS,1,0,1,-,-,2008,1950000
1,GREENWICH VILLAGE-WEST,1,0,1,-,-,1920,1950000
1,TRIBECA,1,0,1,-,-,-,1939030
1,HARLEM-CENTRAL,3,0,3,1824,3320,2000,1920000
1,MIDTOWN WEST,1,0,1,-,-,1979,1906962
1,SOUTHBRIDGE,0,0,0,-,-,1901,1900000
4,ASTORIA,1,0,1,6900,1985,1930,1900000
1,MURRAY HILL,1,0,1,-,-,-,1900000
1,HARLEM-EAST,4,0,4,1766,2412,1890,1900000
1,UPPER WEST SIDE (79-96),1,0,1,-,-,1926,1895000
1,SOHO,1,0,1,-,-,2008,1892500
1,UPPER WEST SIDE (59-79),0,0,0,-,-,1950,1865000
1,JAVITS CENTER,1,0,1,-,-,-,1865000
1,EAST VILLAGE,1,0,1,-,-,1920,1865000
1,ALPHABET CITY,1,0,1,-,-,2014,1863397
1,GREENWICH VILLAGE-CENTRAL,1,0,1,-,-,1921,1850000
1,MURRAY HILL,0,0,0,-,-,1941,1850000
3,DOWNTOWN-METROTECH,3,0,3,2175,2116,1910,1850000
1,MIDTOWN EAST,0,0,0,-,-,1927,1840000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,2002,1825417
4,LITTLE NECK,0,9,9,4500,9000,1930,1825000
1,UPPER WEST SIDE (59-79),1,0,1,-,-,1987,1825000
4,ELMHURST,4,0,4,2000,4890,2005,1820000
4,FLUSHING-NORTH,2,0,2,3000,3150,2015,1812485
3,GREENPOINT,1,0,1,-,-,1931,1811379
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1983,1810500
1,UPPER WEST SIDE (79-96),0,0,0,-,-,1929,1800000
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1980,1800000
4,KEW GARDENS,2,0,2,3532,1800,1975,1800000
3,BOROUGH PARK,3,0,3,2003,3600,1994,1800000
1,UPPER WEST SIDE (79-96),0,0,0,-,-,1909,1797211
1,UPPER EAST SIDE (79-96),0,0,0,-,-,1923,1795000
3,MILL BASIN,1,0,1,5000,3900,1950,1790000
1,CLINTON,0,0,0,-,-,-,1781937
3,DOWNTOWN-FULTON FERRY,1,0,1,-,-,1910,1780000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,2002,1779596
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1915,1775000
2,EAST TREMONT,0,1,1,9023,18840,1931,1775000
3,OCEAN HILL,6,0,6,2583,5657,1905,1775000
1,UPPER WEST SIDE (96-116),1,0,1,-,-,2005,1775000
1,UPPER EAST SIDE (79-96),1,0,1,-,-,1928,1775000
3,GREENPOINT,2,0,2,2500,3192,1915,1760000
1,UPPER EAST SIDE (59-79),1,0,1,-,-,1984,1755000
2,RIVERDALE,1,0,1,11500,2750,1935,1750000
3,PARK SLOPE,1,0,1,-,-,2015,1750000
3,DYKER HEIGHTS,2,0,2,2600,1782,1930,1750000
1,CHELSEA,1,0,1,-,-,-,1750000
1,CLINTON,1,0,1,-,-,1940,1740000
1,MIDTOWN EAST,0,0,0,-,-,1960,1734000
1,MIDTOWN WEST,0,0,0,-,-,-,1725933
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1949,1725000
1,MIDTOWN EAST,0,0,0,-,-,1960,1720000
3,BOROUGH PARK,3,0,3,2504,5184,1975,1720000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1923,1720000
3,WINDSOR TERRACE,2,0,2,2000,1936,1899,1720000
4,LONG ISLAND CITY,1,0,1,-,-,2006,1710000
1,FLATIRON,1,0,1,-,-,2015,1700467
1,FINANCIAL,0,0,1,-,-,1958,1700000
1,UPPER EAST SIDE (59-79),0,0,0,-,-,1963,1700000
3,GOWANUS,2,0,2,1800,1620,1899,1700000
3,BEDFORD STUYVESANT,2,0,2,1667,2250,1899,1700000
